storm_id,year,month,month_name,name,start_date,end_date,duration_hours,max_wind_kt,max_wind_mph,min_pressure_mb,category_num,category,is_hurricane,is_major,landfalls,observations,narrative,is_retired
AL031854,1854,9,September,UNNAMED,1854-09-07,1854-09-12,138,110,126,938,3,Cat 3,1,1,1,25,"The unnamed storm of 1854 (AL031854) formed in the western Atlantic off the U.S. East Coast on September 7, 1854. It initially tracked westward through the Atlantic before recurving northeastward. It traversed a wide swath of the Atlantic, covering roughly 34 degrees of longitude. It reached peak intensity as a Category 3 hurricane on September 7 with maximum sustained winds of 126 mph (110 kt). The storm underwent rapid intensification, with winds increasing by at least 35 mph within a 24-hour period. The minimum central pressure was recorded at 938 mb. It made landfall near the southeastern U.S. coast on September 8 as a Category 3 hurricane with winds of 115 mph. The system persisted for approximately 6 days. A minimum pressure of 938 mb reflected the storm's significant intensity. The storm was tracked across 25 observations in the HURDAT2 database. The system dissipated over the open Atlantic on September 12.",0
AL041854,1854,9,September,UNNAMED,1854-09-18,1854-09-20,54,90,103,,2,Cat 2,1,0,1,11,"The unnamed storm of 1854 (AL041854) formed in the Gulf of Mexico on September 18, 1854. The system tracked northwestward during its lifetime. It reached peak intensity as a Category 2 hurricane on September 18 with maximum sustained winds of 103 mph (90 kt). It made landfall near the northern Gulf Coast on September 18 as a Category 2 hurricane with winds of 103 mph. The system persisted for approximately 2 days. The storm was tracked across 11 observations in the HURDAT2 database. The system dissipated over the Gulf of Mexico on September 20.",0
AL051854,1854,10,October,UNNAMED,1854-10-20,1854-10-22,66,60,69,,0,TS,0,0,0,12,"The unnamed storm of 1854 (AL051854) formed in the western Atlantic off the U.S. East Coast on October 20, 1854. The system tracked northeastward during its lifetime. It reached peak intensity on October 21 with maximum sustained winds of 69 mph (60 kt). The system persisted for approximately 3 days. The storm was tracked across 12 observations in the HURDAT2 database. The system dissipated over the central Atlantic on October 22.",0
AL011855,1855,8,August,UNNAMED,1855-08-06,1855-08-06,0,90,103,,2,Cat 2,1,0,0,1,"The unnamed storm of 1855 (AL011855) formed in the Gulf of Mexico on August 6, 1855. The system remained nearly stationary during its lifetime. It reached peak intensity as a Category 2 hurricane on August 6 with maximum sustained winds of 103 mph (90 kt). The system was short-lived, lasting less than a day.",0
AL021855,1855,8,August,UNNAMED,1855-08-10,1855-08-11,30,90,103,,2,Cat 2,1,0,0,6,"The unnamed storm of 1855 (AL021855) formed in the open Atlantic on August 10, 1855. The system tracked northeastward during its lifetime. It reached peak intensity as a Category 2 hurricane on August 10 with maximum sustained winds of 103 mph (90 kt). The system persisted for approximately 1 day. The storm was tracked across 6 observations in the HURDAT2 database. The system dissipated over the open Atlantic on August 11.",0
AL031855,1855,8,August,UNNAMED,1855-08-11,1855-08-11,0,70,80,,1,Cat 1,1,0,0,1,"The unnamed storm of 1855 (AL031855) formed in the Caribbean Sea on August 11, 1855. The system remained nearly stationary during its lifetime. It reached peak intensity as a Category 1 hurricane on August 11 with maximum sustained winds of 80 mph (70 kt). The system was short-lived, lasting less than a day.",0
AL041855,1855,8,August,UNNAMED,1855-08-24,1855-08-27,90,60,69,997,0,TS,0,0,0,16,"The unnamed storm of 1855 (AL041855) formed in the central Atlantic on August 24, 1855. The system tracked northwestward during its lifetime. It reached peak intensity on August 25 with maximum sustained winds of 69 mph (60 kt). The minimum central pressure was recorded at 997 mb. The system persisted for approximately 4 days. The storm was tracked across 16 observations in the HURDAT2 database. The system dissipated over the Caribbean Sea on August 27.",0
AL051855,1855,9,September,UNNAMED,1855-09-15,1855-09-17,54,110,126,,3,Cat 3,1,1,1,11,"The unnamed storm of 1855 (AL051855) formed in the Gulf of Mexico on September 15, 1855. The system tracked northward during its lifetime. It reached peak intensity as a Category 3 hurricane on September 16 with maximum sustained winds of 126 mph (110 kt). The storm underwent rapid intensification, with winds increasing by at least 35 mph within a 24-hour period. The system first reached hurricane strength on September 15 and continued to intensify over the following days. It made landfall near the northern Gulf Coast on September 16 as a Category 3 hurricane with winds of 126 mph. The system persisted for approximately 2 days. The storm was tracked across 11 observations in the HURDAT2 database. The system dissipated over the open Atlantic on September 17.",0
AL011856,1856,8,August,UNNAMED,1856-08-09,1856-08-12,78,130,149,934,4,Cat 4,1,1,1,14,"The unnamed storm of 1856 (AL011856) formed in the Gulf of Mexico on August 9, 1856. The system tracked northwestward during its lifetime. It reached peak intensity as a Category 4 hurricane on August 10 with maximum sustained winds of 149 mph (130 kt). The storm underwent rapid intensification, with winds increasing by at least 35 mph within a 24-hour period. The minimum central pressure was recorded at 934 mb. The system first reached hurricane strength on August 9 and continued to intensify over the following days. It made landfall near the northern Gulf Coast on August 10 as a Category 4 hurricane with winds of 149 mph. The system persisted for approximately 3 days. As a Category 4 hurricane, it possessed exceptionally dangerous winds capable of catastrophic damage. A minimum pressure of 934 mb reflected the storm's significant intensity. The storm was tracked across 14 observations in the HURDAT2 database. The system dissipated over the open Atlantic on August 12.",0
AL021856,1856,8,August,UNNAMED,1856-08-13,1856-08-14,42,70,80,,1,Cat 1,1,0,0,8,"The unnamed storm of 1856 (AL021856) formed in the central Atlantic on August 13, 1856. The system tracked westward during its lifetime. It reached peak intensity as a Category 1 hurricane on August 13 with maximum sustained winds of 80 mph (70 kt). The system persisted for approximately 2 days. The storm was tracked across 8 observations in the HURDAT2 database. The system dissipated over the Caribbean Sea on August 14.",0
